Item,Description,Required
1,Получить все налоговые ставки с платформы InSales,Yes
2,Посетить портал налогового органа штата для получения официальных ставок,Yes
3,Сравнить ставку каждого штата с официальной ставкой,Yes
4,Рассчитать абсолютные разницы для каждого штата,Yes
5,Применить порог соответствия 0.25 процентного пункта,Yes
6,Отметить несоответствующие ставки,Yes
7,Задокументировать расхождения с деталями,Yes
8,Подготовить книгу Excel с листом Rate Comparison,Yes
9,Подготовить книгу Excel с листом Discrepancies,Yes
10,Подготовить книгу Excel с листом Summary,Yes
11,Создать отчёт о соответствии в Word с выводами,Yes
12,Включить рекомендации по корректирующим действиям,Yes
13,Просмотреть районные (district) ставки для информации,Optional
14,Проверить недавно добавленные штаты,Optional
15,Проверить назначение налоговых классов,Optional
